,Moises Alou,Rich Aurilia,Jeff Bagwell,Craig Biggio,Barry Bonds,Aaron Boone,Tony Clark,Roger Clemens,Carlos Delgado,Jermaine Dye,Darin Erstad,Cliff Floyd,"Nomar Garcia-parra",Brian Giles,Tom Gordon,Eddie Guardado,Randy Johnson,Jeff Kent,Edgar Martinez,Pedro Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jack Morris,Mike Mussina,Troy Percival,Mike Piazza,Tim Raines,Curt Schilling,Jason Schmidt,Gary Sheffield,Lee Smith,John Smoltz,Sammy Sosa,Alan Trammell,Larry Walker,Known Votes,"Will no longer reveal ballots:Bob Smizik, Patrick Reusse (?), Mike Downey, Gene Collier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Voters who shared ballots, but aren't on BBWAA's list of received/counted ballots: Steve SerbyJohn Lopez",,,,,,,,,,,,,,,,,,,,,,,,,,
% on Public Ballots,,0.00%,60.73%,85.80%,39.27%,0.30%,0.00%,39.27%,2.11%,0.00%,0.00%,0.00%,2.42%,0.00%,0.30%,0.00%,99.09%,13.90%,27.49%,98.19%,6.65%,12.69%,9.37%,0.00%,30.21%,0.30%,75.23%,60.12%,45.62%,0.00%,10.27%,25.08%,87.92%,5.14%,25.08%,8.76%,"4,623.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinny DiTrani,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,1,,8,http://bit.ly/1y375Rd,1/10/15,,0,0,13,13,9,0,9,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,68,96,23,19,15,15,9,0,7,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,New York,
Joe Donnelly*,,,1,1,,,,,,,,,,,,,1,,,1,1,,,,,,1,1,1,,,,1,,,1,10,BBWAA.com,1/13/15,,0,0,13,13,9,9,9,0,7,0,7,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,95,23,19,15,15,9,0,7,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,Honorary,
Jerry Dowling,,,,,1,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,5,Via email,1/25/15,,13,13,13,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,34,67,23,19,15,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Cincinnati (H),
Bob Elliott,,,,1,1,,,1,1,,,,,,,,1,1,,1,,,,,,,,1,,,,,1,,,1,10,http://bit.ly/1yI7f3e,1/8/15,,13,13,13,13,0,0,9,0,0,0,7,7,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,91,23,19,15,15,0,0,7,0,5,5,0,0,0,0,2,0,2,0,0,0,0,0,1,Toronto,
John Fay,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,1,,,1,1,,,,1,,,1,10,http://cin.ci/17hecga,1/6/15,,0,0,13,13,0,9,9,0,7,7,7,7,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,89,23,19,15,15,0,0,7,5,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,Cincinnati ,
Martin Fennelly,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,1,,1,,6,http://bit.ly/14ErYYz,1/10/15,,0,0,13,13,0,0,9,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,40,89,23,19,15,15,0,7,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Tampa,
Jim Ferguson*,,,1,1,,,,,1,,,,,,,,1,,,1,,,,,,,1,,,,1,1,1,,,,9,BBWAA.com,1/8/15,,0,0,13,13,9,9,0,0,0,0,7,7,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,62,93,23,19,15,15,9,7,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,Honorary,
Vic Feuerherd,,,1,1,1,,,,,,,,,,,,1,,1,1,,,,,,,1,,,,,1,1,,1,,10,http://on.fb.me/1wGoxry,1/10/15,,13,0,13,13,9,9,0,7,0,0,7,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,96,23,19,15,15,9,7,0,0,0,5,3,3,3,0,0,0,0,0,0,0,0,0,0,Milwaukee (H),
Ken Fidlin*,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,,1,,,1,10,BBWAA.com,1/8/15,,13,13,13,13,9,9,9,0,0,0,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,100,23,19,15,15,9,7,7,0,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,Toronto,
Mike Fine,,,1,,,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,1,1,,,,10,http://bit.ly/1BZsLy9,1/10/15,,0,13,13,13,9,9,9,0,7,0,7,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,86,23,19,15,0,9,0,7,5,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,Boston,
Carter Gaddis,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,,,1,,,,,1,1,,,,9,http://bit.ly/1In6w7n,1/6/15,,0,0,13,13,9,9,0,0,0,0,7,7,0,4,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,65,89,23,19,15,15,9,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,Tampa,
Jim Gauger*,,,1,1,,,,,,,,,1,,,,1,,,1,,,,,,,1,1,,,,1,1,,,,9,BBWAA.com,1/12/15,,0,0,13,13,9,9,9,0,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,68,92,23,19,15,15,9,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,Honorary,
Leslie Gibson McCarthy*,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,1,1,,,,10,BBWAA.com + Column,1/8/15,,0,0,13,13,9,9,9,0,7,0,7,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,96,23,19,15,15,9,0,7,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Steven Gietschier*,,,1,1,,,,,,,,,,,,,1,1,1,1,,1,,,1,,1,,,,,,1,,,,10,BBWAA.com,1/8/15,,0,0,13,13,9,9,0,0,0,7,7,7,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,89,23,19,15,15,9,0,0,0,0,0,0,3,0,3,2,2,0,0,0,0,0,0,0,St. Louis (H),
David Ginsburg*,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,4,BBWAA.com,1/15/14,,0,0,13,13,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,-36,6,73,23,19,15,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baltimore-DC,
Steven M. Goldman*,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,,,1,1,,,,1,1,,1,,10,BBWAA.com,1/8/15,,0,0,13,13,9,9,9,7,0,0,7,7,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,98,23,19,15,15,9,7,7,0,0,0,3,0,3,0,2,0,0,0,0,0,0,0,0,Cleveland,
Jay Greenberg,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,1,1,,1,,10,Via DM,1/8/15,,0,0,13,13,9,0,9,7,7,0,7,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,100,23,19,15,15,9,7,7,5,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,New York (H),
Jim Hawkins*,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,,1,1,,,,1,,1,,8,BBWAA.com,1/8/15,,0,0,13,13,0,0,9,7,7,7,7,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,63,82,23,19,15,0,0,7,7,5,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,Detroit (H),
Jim Henneman,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,,,,,1,,1,,10,http://bit.ly/1DvqnjH,1/6/15,,0,0,13,13,9,9,9,7,0,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,94,23,19,15,15,9,0,7,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,Baltimore-DC (H),
Steve Henson*,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,,,,,,1,1,,10,BBWAA.com,1/8/15,,13,13,13,13,9,0,9,7,0,7,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,90,23,19,0,15,9,7,7,0,5,5,0,0,3,3,0,0,0,0,0,0,1,0,0,LA-Anaheim,
Lowell Hickey*,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,1,1,,,,7,BBWAA.com,1/10/15,,0,0,13,13,0,9,0,0,7,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,48,87,23,19,15,15,0,7,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Hirokazu Higuchi*,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,4,BBWAA.com,1/8/15,,0,0,13,13,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,-36,4,79,23,19,15,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA-Anaheim,
Greg Hoard*,,,,1,,,,,,,,,,,,,1,,,1,1,,,,,,1,,,,,1,1,,,,7,BBWAA.com,1/11/15,,0,0,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,42,85,23,19,15,15,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,Cincinnati (H),
Myron Holtzman*,,,1,1,,,,,,,,,,,,,1,,,1,,,1,,1,,,1,,,,,1,,,,8,BBWAA.com,1/10/15,,0,0,13,13,0,9,9,0,0,7,7,7,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,65,83,23,19,15,15,0,0,7,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,St. Louis (H),
Joseph E. Hoppel*,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,1,,1,,,,1,,,,6,BBWAA.com,1/8/15,,0,0,13,13,9,9,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,42,78,23,19,15,0,9,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Jeff Horrigan*,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,1,,1,,1,,,,10,BBWAA.com,1/8/15,,13,13,13,13,9,9,0,0,7,0,7,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,96,23,19,15,15,9,0,0,5,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,Milwaukee (H),
Alan Hoskins*,,,1,1,,,,,,,,,,,,,1,,,1,,,1,,,,1,,1,,,1,1,1,,,10,BBWAA.com,1/10/15,,0,0,13,13,9,9,0,0,7,0,7,7,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,90,23,19,15,15,9,0,0,5,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,Honorary,
Garry D. Howard*,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,1,,1,,,,1,,1,,,,10,BBWAA.com,1/8/15,,13,13,13,13,9,0,0,0,0,7,7,7,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,94,23,19,15,15,9,0,0,0,5,5,0,0,0,3,0,0,0,2,1,0,0,0,0,Honorary,
Gary Hyvonen,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,1,,,,1,,1,,6,Via email,1/24/15,,0,0,13,13,0,0,0,7,7,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,34,74,23,19,15,0,0,7,0,5,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,Honorary,
Murray Janoff*,,,,,,,,,,,,,1,,1,,1,,1,1,1,,,,,,,,,,1,1,1,,1,,10,BBWAA.com,1/10/15,,0,0,13,13,0,0,0,7,0,0,7,0,0,4,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-1,49,75,23,19,15,0,0,7,0,0,0,0,3,3,3,0,0,0,0,2,0,1,0,1,0,Honorary,
Bruce Jenkins,,,,,1,,,1,,,,,,,,,1,,,1,1,,1,,,,1,,1,,,,1,1,,,10,http://bit.ly/1ACfr4d,1/6/15,,13,13,13,13,9,0,0,0,7,0,7,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,88,23,19,15,0,9,7,0,5,5,5,0,0,0,0,0,0,0,0,1,1,1,0,0,SF-Oakland,
Buck Johnson,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,1,,1,1,,,,1,1,,,,10,http://bit.ly/14RMMMV,1/13/15,,0,0,13,13,9,9,9,0,0,7,7,7,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,94,23,19,15,15,9,0,7,0,0,0,3,0,0,3,2,0,0,0,0,0,0,0,0,Atlanta,
Joey Johnston,,,1,1,1,,,1,,,,,,,,,1,,,1,,1,,,,,1,,,,1,,1,,,,10,http://bit.ly/14ErYYz,1/10/15,,13,13,13,13,9,9,0,0,0,0,7,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,93,23,19,15,15,9,0,0,0,5,5,0,0,0,0,0,2,0,2,0,0,0,0,0,Tampa,
Marc Katz,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,,,1,,,,1,1,1,,,,10,http://bit.ly/1CM7Grz,1/20/15,,0,0,13,13,9,9,0,0,0,0,7,7,0,4,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,94,23,19,15,15,9,7,0,0,0,0,3,3,0,0,0,2,0,2,0,0,0,0,0,Cincinnati (H),
Peter Kerasotis,,,,,,,,,,,,,,,,,1,1,,1,1,,,,1,,,1,1,,1,,1,,1,,10,Via Email +Facebook,1/10/15,,0,0,13,13,0,0,9,7,7,7,7,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,82,23,19,15,0,0,7,7,5,0,0,0,0,3,3,2,0,0,2,0,1,0,0,0,Miami,
Mike Kiley*,,,,1,1,,,1,,,,,1,,,,1,,,1,,,,,,,1,1,,,,1,1,,,,10,BBWAA.com,1/10/15,,13,13,13,13,9,0,9,0,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,98,23,19,15,15,9,0,7,0,5,5,3,0,0,0,0,0,0,0,0,0,0,1,0,Honorary,
Ann Killion,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,1,1,,,,6,http://bit.ly/1ACfr4d,1/6/15,,0,0,13,13,0,0,9,0,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,34,89,23,19,15,15,0,7,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,SF-Oakland,
Moss Klein*,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,7,BBWAA.com,1/11/15,,13,13,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,66,98,23,19,15,15,9,7,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Mike Klis,,,,1,,,,,,,,,,,,,1,,,1,1,1,,,,,,1,1,,,1,1,,1,,10,Via email,1/10/15,,0,0,13,13,0,0,9,7,7,0,7,7,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,94,23,19,15,15,0,7,7,5,0,0,3,0,3,0,0,2,0,0,0,1,0,0,0,Colorado,
Steve Kornacki*,,,1,1,,,,,,,,,,,,,1,,,1,1,,1,,,,1,,1,,,,1,,1,,10,BBWAA.com,1/8/15,,0,0,13,13,9,9,0,7,7,0,7,7,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,96,23,19,15,15,9,7,0,5,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,Detroit,
Danny Knobler*,,,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,1,1,,,,1,,1,,10,BBWAA.com,1/8/15,,13,13,13,13,9,0,9,7,7,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,90,23,19,15,0,9,7,7,5,5,5,0,0,3,0,0,0,0,0,1,0,0,0,0,At-large,
Ron Kroichick,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,5,http://bit.ly/1ACfr4d,1/6/15,,0,0,13,13,0,9,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,19,66,23,19,0,15,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,SF-Oakland,
Bob Kuenster*,,,1,1,,,,,,,,,,,,,1,1,1,1,,1,,,,,,1,,,,,1,,1,,10,BBWAA.com,1/8/15,,0,0,13,13,0,9,9,7,0,0,7,7,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,92,23,19,15,15,0,7,7,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,Honorary,
Bob Kurland*,,,1,1,,,,,,,,,,,,,1,,1,1,1,,,,,,1,1,1,,,,1,,,,10,BBWAA.com,1/12/15,,0,0,13,13,9,9,9,0,7,0,7,7,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,100,23,19,15,15,9,7,7,5,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,Honorary,
Gil LeBreton,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,1,1,,,,,1,,,,10,http://bit.ly/17iwwWd,1/7/15,,13,13,13,13,9,9,9,0,0,0,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,100,23,19,15,15,9,7,7,0,5,5,0,0,0,0,2,0,0,0,0,0,0,0,0,Dallas,
Ken Lechtanski*,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,4,BBWAA.com,1/10/15,,0,0,13,13,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,-36,4,69,23,19,0,15,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Seth Livingstone,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,1,,,,,1,1,,,10,Multiple Tweets+email,1/8/15,,13,13,13,13,9,0,9,0,0,0,7,7,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,100,23,19,15,15,9,7,7,0,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,Baltimore-DC,
Chris Long*,,,1,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,1,,,1,,1,,,,10,BBWAA.com,1/8/15,,13,13,13,13,9,9,9,0,0,0,7,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,90,23,19,15,0,9,7,7,0,5,5,0,0,0,0,0,0,0,2,1,0,0,0,0,Honorary,
Mark Maloney,,,,1,,,,1,,,,,,,,,1,,,1,,,,,,,,1,,,,,1,,,,7,Via email - to the best of his recollection. May have voted Bagwell and/or Piazza.,1/26/15,,0,13,13,13,0,0,9,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,53,84,23,19,15,15,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cincinnati,
Jim Massie,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,1,,,,1,,,,7,http://bit.ly/14K1uVs,1/11/15,,0,0,13,13,9,9,0,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,56,86,23,19,15,15,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cincinnati (H),
Marc Maturo*,,,,1,1,,,1,,,,,,,,,1,1,1,1,,,,,,,1,1,,,,,1,,,,10,BBWAA.com,1/8/15,,13,13,13,13,9,0,9,0,0,0,7,7,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,98,23,19,15,15,9,0,7,0,5,5,0,3,0,0,2,0,0,0,0,0,0,0,0,Honorary,
Hal McCoy,,,1,1,,1,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,1,1,,,,9,http://bit.ly/1wV1fxd,1/7/15,,0,0,13,13,0,9,0,0,0,0,7,7,0,4,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,-4,53,80,23,19,15,15,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,Cincinnati ,
Dan McGrath*,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,1,,1,,7,BBWAA.com,1/8/15,,0,0,13,13,0,9,0,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,54,85,23,19,15,15,0,7,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,Chicago,
Adam Mertz,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,1,,,,1,,,,8,Via DM,1/6/15,,13,13,13,13,9,0,0,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,78,96,23,19,15,15,9,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Milwaukee,
Larry Millson*,,,1,1,1,,,1,1,,,,,,,,1,,1,1,,,,,,,1,1,,,,,,,,,10,BBWAA.com,1/13/15,,13,13,13,13,9,9,9,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,90,23,19,0,15,9,7,7,0,5,5,0,3,0,0,0,0,0,0,0,0,0,0,1,Honorary,
Steve Milton (possibly partial),,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,1,,,,5,Via email,1/11/15,,0,0,13,13,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,16,82,23,19,15,15,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Toronto,
Kevin Modesti,,,1,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,1,,,,,,1,,,9,http://bit.ly/1BwwRPX,1/6/15,,13,13,13,13,9,9,9,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,84,70,23,19,0,0,9,0,7,0,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,LA-Anaheim,
Jim Molony,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,,,,1,1,1,,,1,10,Via email,1/12/15,,0,0,13,13,9,9,0,0,0,0,7,7,4,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,89,23,19,15,15,9,0,0,0,0,0,3,3,0,0,0,0,2,2,0,0,0,0,0,Houston,
David Leon Moore*,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,4,BBWAA.com,1/8/15,,0,0,13,13,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,-36,4,79,23,19,15,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA-Anaheim,
John Nadel*,,,1,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,,,,,1,1,,,10,BBWAA.com,1/8/15,,13,13,13,13,9,9,0,0,0,0,7,7,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,98,23,19,15,15,9,7,0,0,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,LA-Anaheim,
La Velle E. Neal III,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,1,1,,,1,1,,1,,10,http://strib.mn/13YUDqz,1/6/15,,0,0,13,13,9,9,9,7,7,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,96,23,19,15,15,9,0,7,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,Minneapolis ,
Lisa Nehus Saxon*,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,1,,,,5,BBWAA.com,1/8/15,,0,0,13,13,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,22,75,23,19,15,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Honorary,
Gary Nuhn*,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,,,,,1,1,,,,7,BBWAA.com,1/10/15,,0,0,13,13,9,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,48,94,23,19,15,15,9,7,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,Honorary,
Charles Odum*,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,,,1,1,,,1,,1,,,,9,BBWAA.com,1/11/15,,0,0,13,13,9,9,9,0,0,0,7,7,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,72,92,23,19,15,15,9,0,7,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,Atlanta,
